Sr. No.,Content ID,Type,Datetime,Sentiment,Score,Content Type,Category,,Category,Score
1985,3724de8a-ec2f-4021-a3f1-605d551da9d0,indifferent,09-04-2021 09:55,neutral,20,video,culture,,,
1986,3724de8a-ec2f-4021-a3f1-605d551da9d0,indifferent,11-05-2021 08:06,neutral,20,video,culture,,,
1987,3724de8a-ec2f-4021-a3f1-605d551da9d0,interested,01-03-2021 00:43,positive,30,video,culture,,,
1988,3724de8a-ec2f-4021-a3f1-605d551da9d0,super love,31-08-2020 15:49,positive,75,video,culture,,,
1989,3724de8a-ec2f-4021-a3f1-605d551da9d0,cherish,22-07-2020 08:55,positive,70,video,culture,,,
1990,3724de8a-ec2f-4021-a3f1-605d551da9d0,interested,28-09-2020 21:47,positive,30,video,culture,,,
1991,3724de8a-ec2f-4021-a3f1-605d551da9d0,dislike,06-10-2020 00:15,negative,10,video,culture,,,
1992,3724de8a-ec2f-4021-a3f1-605d551da9d0,intrigued,30-03-2021 04:58,positive,45,video,culture,,,
1993,3724de8a-ec2f-4021-a3f1-605d551da9d0,heart,29-12-2020 00:12,positive,60,video,culture,,,
1994,3724de8a-ec2f-4021-a3f1-605d551da9d0,super love,29-11-2020 15:12,positive,75,video,culture,,,
1995,3724de8a-ec2f-4021-a3f1-605d551da9d0,worried,06-02-2021 19:30,negative,12,video,culture,,,
1996,3724de8a-ec2f-4021-a3f1-605d551da9d0,disgust,23-06-2020 18:41,negative,0,video,culture,,,
1997,3724de8a-ec2f-4021-a3f1-605d551da9d0,dislike,28-11-2020 21:32,negative,10,video,culture,,,
1998,3724de8a-ec2f-4021-a3f1-605d551da9d0,indifferent,09-07-2020 02:57,neutral,20,video,culture,,,
1999,3724de8a-ec2f-4021-a3f1-605d551da9d0,scared,22-05-2021 09:30,negative,15,video,culture,,,
2000,3724de8a-ec2f-4021-a3f1-605d551da9d0,scared,15-11-2020 11:56,negative,15,video,culture,,,
2001,3724de8a-ec2f-4021-a3f1-605d551da9d0,like,02-02-2021 19:43,positive,50,video,culture,,,
2002,3724de8a-ec2f-4021-a3f1-605d551da9d0,want,10-04-2021 09:59,positive,70,video,culture,,,
2003,3724de8a-ec2f-4021-a3f1-605d551da9d0,want,20-07-2020 05:58,positive,70,video,culture,,,
2004,3724de8a-ec2f-4021-a3f1-605d551da9d0,super love,03-09-2020 09:24,positive,75,video,culture,,,
2005,3724de8a-ec2f-4021-a3f1-605d551da9d0,cherish,18-02-2021 13:56,positive,70,video,culture,,,
2006,3724de8a-ec2f-4021-a3f1-605d551da9d0,heart,20-12-2020 01:08,positive,60,video,culture,,,
2007,3724de8a-ec2f-4021-a3f1-605d551da9d0,super love,18-02-2021 16:19,positive,75,video,culture,,,
2008,3724de8a-ec2f-4021-a3f1-605d551da9d0,super love,25-01-2021 03:22,positive,75,video,culture,,,
2009,3724de8a-ec2f-4021-a3f1-605d551da9d0,intrigued,11-01-2021 06:20,positive,45,video,culture,,,
2010,3724de8a-ec2f-4021-a3f1-605d551da9d0,adore,06-10-2020 23:09,positive,72,video,culture,,,
2011,3724de8a-ec2f-4021-a3f1-605d551da9d0,want,10-07-2020 03:28,positive,70,video,culture,,,
2012,2d0926be-9a29-4e6c-b342-815c70172214,like,27-10-2020 08:50,positive,50,GIF,animals,,,
2013,2d0926be-9a29-4e6c-b342-815c70172214,love,27-06-2020 21:44,positive,65,GIF,animals,,,
2014,2d0926be-9a29-4e6c-b342-815c70172214,scared,11-09-2020 20:32,negative,15,GIF,animals,,,
2015,2d0926be-9a29-4e6c-b342-815c70172214,peeking,15-06-2021 18:21,neutral,35,GIF,animals,,,
2016,2d0926be-9a29-4e6c-b342-815c70172214,dislike,15-09-2020 22:46,negative,10,GIF,animals,,,
2017,2d0926be-9a29-4e6c-b342-815c70172214,worried,19-08-2020 07:02,negative,12,GIF,animals,,,
2018,2d0926be-9a29-4e6c-b342-815c70172214,indifferent,26-02-2021 17:18,neutral,20,GIF,animals,,,
2019,2d0926be-9a29-4e6c-b342-815c70172214,super love,05-11-2020 07:59,positive,75,GIF,animals,,,
2020,2d0926be-9a29-4e6c-b342-815c70172214,super love,18-12-2020 17:17,positive,75,GIF,animals,,,
2021,2d0926be-9a29-4e6c-b342-815c70172214,worried,22-02-2021 03:12,negative,12,GIF,animals,,,
2022,2d0926be-9a29-4e6c-b342-815c70172214,cherish,24-01-2021 19:30,positive,70,GIF,animals,,,
2023,2d0926be-9a29-4e6c-b342-815c70172214,dislike,02-10-2020 00:17,negative,10,GIF,animals,,,
2024,2d0926be-9a29-4e6c-b342-815c70172214,indifferent,24-10-2020 05:23,neutral,20,GIF,animals,,,
2025,2d0926be-9a29-4e6c-b342-815c70172214,intrigued,17-08-2020 11:35,positive,45,GIF,animals,,,
2026,2d0926be-9a29-4e6c-b342-815c70172214,indifferent,08-11-2020 22:18,neutral,20,GIF,animals,,,
2027,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,hate,12-10-2020 11:41,negative,5,photo,science,,,
2028,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,super love,20-11-2020 13:51,positive,75,photo,science,,,
2029,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,indifferent,24-11-2020 14:36,neutral,20,photo,science,,,
2030,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,intrigued,26-07-2020 02:14,positive,45,photo,science,,,
2031,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,adore,07-10-2020 22:28,positive,72,photo,science,,,
2032,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,cherish,09-11-2020 14:28,positive,70,photo,science,,,
2033,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,dislike,13-05-2021 06:25,negative,10,photo,science,,,
2034,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,cherish,05-07-2020 18:07,positive,70,photo,science,,,
2035,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,scared,07-01-2021 08:21,negative,15,photo,science,,,
2036,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,worried,13-08-2020 14:26,negative,12,photo,science,,,
2037,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,scared,26-02-2021 00:23,negative,15,photo,science,,,
2038,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,want,26-06-2020 03:29,positive,70,photo,science,,,
2039,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,cherish,17-12-2020 17:32,positive,70,photo,science,,,
2040,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,heart,28-02-2021 13:10,positive,60,photo,science,,,
2041,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,heart,30-10-2020 04:08,positive,60,photo,science,,,
2042,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,super love,22-07-2020 22:20,positive,75,photo,science,,,
2043,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,worried,28-07-2020 16:49,negative,12,photo,science,,,
2044,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,hate,21-08-2020 13:45,negative,5,photo,science,,,
2045,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,hate,04-06-2021 01:54,negative,5,photo,science,,,
2046,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,peeking,29-06-2020 11:08,neutral,35,photo,science,,,
2047,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,indifferent,16-12-2020 08:32,neutral,20,photo,science,,,
2048,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,adore,07-03-2021 23:08,positive,72,photo,science,,,
2049,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,worried,08-06-2021 06:43,negative,12,photo,science,,,
2050,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,worried,04-05-2021 07:24,negative,12,photo,science,,,
2051,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,interested,26-03-2021 03:11,positive,30,photo,science,,,
2052,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,worried,16-12-2020 11:05,negative,12,photo,science,,,
2053,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,disgust,29-12-2020 08:39,negative,0,photo,science,,,
2054,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,cherish,14-08-2020 13:03,positive,70,photo,science,,,
2055,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,want,11-02-2021 06:26,positive,70,photo,science,,,
2056,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,interested,31-10-2020 03:25,positive,30,photo,science,,,
2057,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,worried,04-10-2020 02:30,negative,12,photo,science,,,
2058,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,indifferent,25-07-2020 10:32,neutral,20,photo,science,,,
2059,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,like,02-08-2020 10:49,positive,50,photo,science,,,
2060,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,super love,26-08-2020 17:24,positive,75,photo,science,,,
2061,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,worried,10-02-2021 21:50,negative,12,photo,science,,,
2062,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,intrigued,31-01-2021 11:32,positive,45,photo,science,,,
2063,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,disgust,27-04-2021 00:46,negative,0,photo,science,,,
2064,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,indifferent,27-06-2020 07:23,neutral,20,photo,science,,,
2065,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,dislike,09-05-2021 13:01,negative,10,photo,science,,,
2066,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,worried,17-02-2021 12:36,negative,12,photo,science,,,
2067,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,like,19-01-2021 22:04,positive,50,photo,science,,,
2068,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,love,18-08-2020 11:17,positive,65,photo,science,,,
2069,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,adore,14-03-2021 04:41,positive,72,photo,science,,,
2070,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,hate,31-10-2020 23:32,negative,5,photo,science,,,
2071,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,super love,19-04-2021 11:36,positive,75,photo,science,,,
2072,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,disgust,20-11-2020 10:39,negative,0,photo,science,,,
2073,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,heart,24-10-2020 01:16,positive,60,photo,science,,,
2074,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,hate,24-08-2020 23:06,negative,5,photo,science,,,
2075,0491183b-be25-4108-b667-8c30d3cdbf50,peeking,23-07-2020 18:39,neutral,35,audio,veganism,,,
2076,0491183b-be25-4108-b667-8c30d3cdbf50,cherish,18-12-2020 05:58,positive,70,audio,veganism,,,
2077,0491183b-be25-4108-b667-8c30d3cdbf50,disgust,11-07-2020 18:45,negative,0,audio,veganism,,,
2078,0491183b-be25-4108-b667-8c30d3cdbf50,want,01-05-2021 16:16,positive,70,audio,veganism,,,
2079,0491183b-be25-4108-b667-8c30d3cdbf50,like,24-10-2020 01:46,positive,50,audio,veganism,,,
2080,0491183b-be25-4108-b667-8c30d3cdbf50,scared,16-01-2021 07:40,negative,15,audio,veganism,,,
2081,0491183b-be25-4108-b667-8c30d3cdbf50,cherish,26-06-2020 10:28,positive,70,audio,veganism,,,
2082,0491183b-be25-4108-b667-8c30d3cdbf50,worried,19-07-2020 21:25,negative,12,audio,veganism,,,
2083,0491183b-be25-4108-b667-8c30d3cdbf50,indifferent,24-03-2021 22:50,neutral,20,audio,veganism,,,
2084,359b93ea-446f-4202-8801-db238de5de4d,interested,31-08-2020 00:43,positive,30,photo,food,,,
2085,359b93ea-446f-4202-8801-db238de5de4d,intrigued,30-09-2020 06:43,positive,45,photo,food,,,
2086,359b93ea-446f-4202-8801-db238de5de4d,interested,02-05-2021 06:24,positive,30,photo,food,,,
2087,359b93ea-446f-4202-8801-db238de5de4d,intrigued,28-11-2020 11:22,positive,45,photo,food,,,
2088,359b93ea-446f-4202-8801-db238de5de4d,cherish,20-06-2020 08:53,positive,70,photo,food,,,
2089,359b93ea-446f-4202-8801-db238de5de4d,like,11-04-2021 06:12,positive,50,photo,food,,,
2090,359b93ea-446f-4202-8801-db238de5de4d,worried,04-08-2020 11:12,negative,12,photo,food,,,
2091,359b93ea-446f-4202-8801-db238de5de4d,scared,07-03-2021 14:58,negative,15,photo,food,,,
2092,359b93ea-446f-4202-8801-db238de5de4d,love,02-09-2020 05:00,positive,65,photo,food,,,
2093,359b93ea-446f-4202-8801-db238de5de4d,dislike,09-02-2021 12:04,negative,10,photo,food,,,
2094,359b93ea-446f-4202-8801-db238de5de4d,want,02-03-2021 10:25,positive,70,photo,food,,,
2095,359b93ea-446f-4202-8801-db238de5de4d,cherish,30-10-2020 05:43,positive,70,photo,food,,,
2096,359b93ea-446f-4202-8801-db238de5de4d,scared,31-05-2021 03:45,negative,15,photo,food,,,
2097,359b93ea-446f-4202-8801-db238de5de4d,worried,01-02-2021 17:36,negative,12,photo,food,,,
2098,359b93ea-446f-4202-8801-db238de5de4d,indifferent,29-05-2021 21:59,neutral,20,photo,food,,,
2099,359b93ea-446f-4202-8801-db238de5de4d,adore,30-07-2020 21:13,positive,72,photo,food,,,
2100,359b93ea-446f-4202-8801-db238de5de4d,scared,02-09-2020 17:10,negative,15,photo,food,,,
2101,359b93ea-446f-4202-8801-db238de5de4d,like,01-04-2021 05:35,positive,50,photo,food,,,
2102,359b93ea-446f-4202-8801-db238de5de4d,peeking,23-02-2021 17:48,neutral,35,photo,food,,,
2103,359b93ea-446f-4202-8801-db238de5de4d,indifferent,05-07-2020 19:37,neutral,20,photo,food,,,
2104,359b93ea-446f-4202-8801-db238de5de4d,intrigued,03-09-2020 00:08,positive,45,photo,food,,,
2105,359b93ea-446f-4202-8801-db238de5de4d,adore,23-11-2020 01:09,positive,72,photo,food,,,
2106,359b93ea-446f-4202-8801-db238de5de4d,heart,05-06-2021 03:08,positive,60,photo,food,,,
2107,359b93ea-446f-4202-8801-db238de5de4d,hate,24-03-2021 01:16,negative,5,photo,food,,,
2108,359b93ea-446f-4202-8801-db238de5de4d,worried,29-01-2021 06:34,negative,12,photo,food,,,
2109,359b93ea-446f-4202-8801-db238de5de4d,scared,21-02-2021 13:54,negative,15,photo,food,,,
2110,359b93ea-446f-4202-8801-db238de5de4d,like,23-04-2021 08:41,positive,50,photo,food,,,
2111,359b93ea-446f-4202-8801-db238de5de4d,worried,01-09-2020 06:58,negative,12,photo,food,,,
2112,359b93ea-446f-4202-8801-db238de5de4d,peeking,04-07-2020 21:42,neutral,35,photo,food,,,
2113,359b93ea-446f-4202-8801-db238de5de4d,indifferent,15-11-2020 02:50,neutral,20,photo,food,,,
2114,359b93ea-446f-4202-8801-db238de5de4d,adore,11-07-2020 02:30,positive,72,photo,food,,,
2115,359b93ea-446f-4202-8801-db238de5de4d,adore,31-12-2020 22:12,positive,72,photo,food,,,
2116,359b93ea-446f-4202-8801-db238de5de4d,hate,29-04-2021 23:51,negative,5,photo,food,,,
2117,359b93ea-446f-4202-8801-db238de5de4d,like,24-01-2021 05:33,positive,50,photo,food,,,
2118,359b93ea-446f-4202-8801-db238de5de4d,want,05-01-2021 19:18,positive,70,photo,food,,,
2119,359b93ea-446f-4202-8801-db238de5de4d,like,18-07-2020 00:26,positive,50,photo,food,,,
2120,359b93ea-446f-4202-8801-db238de5de4d,dislike,20-02-2021 20:29,negative,10,photo,food,,,
2121,359b93ea-446f-4202-8801-db238de5de4d,like,25-09-2020 22:51,positive,50,photo,food,,,
2122,359b93ea-446f-4202-8801-db238de5de4d,want,07-03-2021 05:38,positive,70,photo,food,,,
2123,359b93ea-446f-4202-8801-db238de5de4d,like,12-03-2021 09:31,positive,50,photo,food,,,
2124,359b93ea-446f-4202-8801-db238de5de4d,cherish,09-12-2020 12:14,positive,70,photo,food,,,
2125,359b93ea-446f-4202-8801-db238de5de4d,want,13-03-2021 06:46,positive,70,photo,food,,,
2126,359b93ea-446f-4202-8801-db238de5de4d,disgust,26-02-2021 19:38,negative,0,photo,food,,,
2127,0adb9a94-210a-4e84-bca1-13db9452ff0e,heart,05-09-2020 16:55,positive,60,video,healthy eating,,,
2128,0adb9a94-210a-4e84-bca1-13db9452ff0e,disgust,09-06-2021 06:01,negative,0,video,healthy eating,,,
2129,0adb9a94-210a-4e84-bca1-13db9452ff0e,want,21-01-2021 16:51,positive,70,video,healthy eating,,,
2130,0adb9a94-210a-4e84-bca1-13db9452ff0e,adore,04-06-2021 07:13,positive,72,video,healthy eating,,,
2131,0adb9a94-210a-4e84-bca1-13db9452ff0e,dislike,27-10-2020 23:14,negative,10,video,healthy eating,,,
2132,0adb9a94-210a-4e84-bca1-13db9452ff0e,love,07-10-2020 04:02,positive,65,video,healthy eating,,,
2133,0adb9a94-210a-4e84-bca1-13db9452ff0e,disgust,08-04-2021 01:19,negative,0,video,healthy eating,,,
2134,0adb9a94-210a-4e84-bca1-13db9452ff0e,want,18-08-2020 13:19,positive,70,video,healthy eating,,,
2135,0adb9a94-210a-4e84-bca1-13db9452ff0e,super love,21-06-2020 20:35,positive,75,video,healthy eating,,,
2136,0adb9a94-210a-4e84-bca1-13db9452ff0e,hate,31-08-2020 03:19,negative,5,video,healthy eating,,,
2137,0adb9a94-210a-4e84-bca1-13db9452ff0e,interested,25-03-2021 21:57,positive,30,video,healthy eating,,,
2138,0adb9a94-210a-4e84-bca1-13db9452ff0e,super love,22-04-2021 09:20,positive,75,video,healthy eating,,,
2139,0adb9a94-210a-4e84-bca1-13db9452ff0e,hate,08-01-2021 22:21,negative,5,video,healthy eating,,,
2140,0adb9a94-210a-4e84-bca1-13db9452ff0e,love,09-01-2021 03:10,positive,65,video,healthy eating,,,
2141,0adb9a94-210a-4e84-bca1-13db9452ff0e,adore,06-07-2020 01:07,positive,72,video,healthy eating,,,
2142,0adb9a94-210a-4e84-bca1-13db9452ff0e,like,10-01-2021 23:45,positive,50,video,healthy eating,,,
2143,0adb9a94-210a-4e84-bca1-13db9452ff0e,disgust,31-08-2020 08:14,negative,0,video,healthy eating,,,
2144,0adb9a94-210a-4e84-bca1-13db9452ff0e,dislike,08-10-2020 17:53,negative,10,video,healthy eating,,,
2145,0adb9a94-210a-4e84-bca1-13db9452ff0e,like,17-12-2020 18:04,positive,50,video,healthy eating,,,
2146,0adb9a94-210a-4e84-bca1-13db9452ff0e,hate,02-02-2021 05:59,negative,5,video,healthy eating,,,
2147,0adb9a94-210a-4e84-bca1-13db9452ff0e,super love,22-08-2020 05:37,positive,75,video,healthy eating,,,
2148,0adb9a94-210a-4e84-bca1-13db9452ff0e,hate,25-01-2021 12:35,negative,5,video,healthy eating,,,
2149,0adb9a94-210a-4e84-bca1-13db9452ff0e,heart,22-07-2020 14:32,positive,60,video,healthy eating,,,
2150,0adb9a94-210a-4e84-bca1-13db9452ff0e,super love,10-11-2020 19:13,positive,75,video,healthy eating,,,
2151,0adb9a94-210a-4e84-bca1-13db9452ff0e,super love,18-10-2020 14:41,positive,75,video,healthy eating,,,
2152,3c510b35-43e2-4e84-a805-86c5ebddc4cf,scared,21-08-2020 22:18,negative,15,audio,studying,,,
2153,3c510b35-43e2-4e84-a805-86c5ebddc4cf,like,03-11-2020 08:42,positive,50,audio,studying,,,
2154,3c510b35-43e2-4e84-a805-86c5ebddc4cf,worried,16-05-2021 19:20,negative,12,audio,studying,,,
2155,3c510b35-43e2-4e84-a805-86c5ebddc4cf,dislike,27-12-2020 08:43,negative,10,audio,studying,,,
2156,3c510b35-43e2-4e84-a805-86c5ebddc4cf,intrigued,12-03-2021 10:03,positive,45,audio,studying,,,
2157,3c510b35-43e2-4e84-a805-86c5ebddc4cf,worried,08-06-2021 06:16,negative,12,audio,studying,,,
2158,3c510b35-43e2-4e84-a805-86c5ebddc4cf,love,06-12-2020 22:29,positive,65,audio,studying,,,
2159,3c510b35-43e2-4e84-a805-86c5ebddc4cf,heart,05-06-2021 19:26,positive,60,audio,studying,,,
2160,3c510b35-43e2-4e84-a805-86c5ebddc4cf,adore,15-05-2021 08:23,positive,72,audio,studying,,,
2161,3c510b35-43e2-4e84-a805-86c5ebddc4cf,hate,26-12-2020 11:34,negative,5,audio,studying,,,
2162,3c510b35-43e2-4e84-a805-86c5ebddc4cf,scared,24-09-2020 03:45,negative,15,audio,studying,,,
2163,3c510b35-43e2-4e84-a805-86c5ebddc4cf,love,24-01-2021 22:57,positive,65,audio,studying,,,
2164,3c510b35-43e2-4e84-a805-86c5ebddc4cf,worried,06-08-2020 22:03,negative,12,audio,studying,,,
2165,3c510b35-43e2-4e84-a805-86c5ebddc4cf,adore,10-08-2020 16:13,positive,72,audio,studying,,,
2166,3c510b35-43e2-4e84-a805-86c5ebddc4cf,hate,24-03-2021 14:34,negative,5,audio,studying,,,
2167,3c510b35-43e2-4e84-a805-86c5ebddc4cf,cherish,12-09-2020 17:08,positive,70,audio,studying,,,
2168,3c510b35-43e2-4e84-a805-86c5ebddc4cf,peeking,12-02-2021 09:43,neutral,35,audio,studying,,,
2169,3c510b35-43e2-4e84-a805-86c5ebddc4cf,adore,19-03-2021 22:07,positive,72,audio,studying,,,
2170,86346263-02db-4020-a216-9e54f502f643,peeking,24-07-2020 14:13,neutral,35,GIF,travel,,,
2171,86346263-02db-4020-a216-9e54f502f643,worried,03-02-2021 07:13,negative,12,GIF,travel,,,
2172,86346263-02db-4020-a216-9e54f502f643,cherish,30-03-2021 20:05,positive,70,GIF,travel,,,
2173,86346263-02db-4020-a216-9e54f502f643,love,05-07-2020 20:16,positive,65,GIF,travel,,,
2174,86346263-02db-4020-a216-9e54f502f643,indifferent,20-07-2020 13:42,neutral,20,GIF,travel,,,
2175,86346263-02db-4020-a216-9e54f502f643,super love,23-07-2020 21:23,positive,75,GIF,travel,,,
2176,86346263-02db-4020-a216-9e54f502f643,indifferent,24-05-2021 12:45,neutral,20,GIF,travel,,,
2177,86346263-02db-4020-a216-9e54f502f643,scared,05-11-2020 15:59,negative,15,GIF,travel,,,
2178,86346263-02db-4020-a216-9e54f502f643,interested,25-10-2020 04:49,positive,30,GIF,travel,,,
2179,86346263-02db-4020-a216-9e54f502f643,interested,06-11-2020 09:03,positive,30,GIF,travel,,,
2180,86346263-02db-4020-a216-9e54f502f643,like,16-10-2020 02:23,positive,50,GIF,travel,,,
2181,86346263-02db-4020-a216-9e54f502f643,disgust,19-09-2020 14:51,negative,0,GIF,travel,,,
2182,86346263-02db-4020-a216-9e54f502f643,dislike,09-10-2020 04:30,negative,10,GIF,travel,,,
2183,86346263-02db-4020-a216-9e54f502f643,adore,13-09-2020 06:34,positive,72,GIF,travel,,,
2184,86346263-02db-4020-a216-9e54f502f643,adore,29-05-2021 13:39,positive,72,GIF,travel,,,
2185,86346263-02db-4020-a216-9e54f502f643,indifferent,03-06-2021 00:51,neutral,20,GIF,travel,,,
2186,86346263-02db-4020-a216-9e54f502f643,cherish,04-01-2021 10:32,positive,70,GIF,travel,,,
2187,86346263-02db-4020-a216-9e54f502f643,love,26-10-2020 13:36,positive,65,GIF,travel,,,
2188,86346263-02db-4020-a216-9e54f502f643,intrigued,14-12-2020 19:13,positive,45,GIF,travel,,,
2189,86346263-02db-4020-a216-9e54f502f643,dislike,05-07-2020 05:42,negative,10,GIF,travel,,,
2190,86346263-02db-4020-a216-9e54f502f643,like,30-06-2020 00:31,positive,50,GIF,travel,,,
2191,86346263-02db-4020-a216-9e54f502f643,dislike,24-07-2020 18:38,negative,10,GIF,travel,,,
2192,86346263-02db-4020-a216-9e54f502f643,scared,15-07-2020 02:19,negative,15,GIF,travel,,,
2193,86346263-02db-4020-a216-9e54f502f643,heart,10-04-2021 23:58,positive,60,GIF,travel,,,
2194,86346263-02db-4020-a216-9e54f502f643,adore,08-03-2021 01:12,positive,72,GIF,travel,,,
2195,86346263-02db-4020-a216-9e54f502f643,scared,19-02-2021 03:11,negative,15,GIF,travel,,,
2196,86346263-02db-4020-a216-9e54f502f643,scared,08-07-2020 16:15,negative,15,GIF,travel,,,
2197,86346263-02db-4020-a216-9e54f502f643,peeking,05-09-2020 06:35,neutral,35,GIF,travel,,,
2198,86346263-02db-4020-a216-9e54f502f643,hate,26-03-2021 21:26,negative,5,GIF,travel,,,
2199,86346263-02db-4020-a216-9e54f502f643,love,15-02-2021 17:38,positive,65,GIF,travel,,,
2200,86346263-02db-4020-a216-9e54f502f643,cherish,14-06-2021 10:37,positive,70,GIF,travel,,,
2201,86346263-02db-4020-a216-9e54f502f643,like,19-01-2021 15:01,positive,50,GIF,travel,,,
2202,86346263-02db-4020-a216-9e54f502f643,love,06-06-2021 09:10,positive,65,GIF,travel,,,
2203,86346263-02db-4020-a216-9e54f502f643,intrigued,29-06-2020 07:55,positive,45,GIF,travel,,,
2204,86346263-02db-4020-a216-9e54f502f643,indifferent,23-02-2021 13:25,neutral,20,GIF,travel,,,
2205,86346263-02db-4020-a216-9e54f502f643,interested,28-12-2020 06:50,positive,30,GIF,travel,,,
2206,86346263-02db-4020-a216-9e54f502f643,love,23-06-2020 12:38,positive,65,GIF,travel,,,
2207,86346263-02db-4020-a216-9e54f502f643,hate,17-08-2020 01:46,negative,5,GIF,travel,,,
2208,86346263-02db-4020-a216-9e54f502f643,dislike,29-12-2020 22:06,negative,10,GIF,travel,,,
2209,86346263-02db-4020-a216-9e54f502f643,worried,07-11-2020 06:47,negative,12,GIF,travel,,,
2210,86346263-02db-4020-a216-9e54f502f643,worried,14-08-2020 06:52,negative,12,GIF,travel,,,
2211,86346263-02db-4020-a216-9e54f502f643,super love,24-11-2020 02:43,positive,75,GIF,travel,,,
2212,86346263-02db-4020-a216-9e54f502f643,interested,26-05-2021 06:16,positive,30,GIF,travel,,,
2213,86346263-02db-4020-a216-9e54f502f643,disgust,04-11-2020 05:30,negative,0,GIF,travel,,,
2214,86346263-02db-4020-a216-9e54f502f643,worried,21-11-2020 01:20,negative,12,GIF,travel,,,
2215,3dfdcf9c-aaa4-41ea-9a7c-b3ba09103467,adore,11-09-2020 13:59,positive,72,GIF,fitness,,,
2216,3dfdcf9c-aaa4-41ea-9a7c-b3ba09103467,super love,02-03-2021 01:51,positive,75,GIF,fitness,,,
2217,3dfdcf9c-aaa4-41ea-9a7c-b3ba09103467,love,12-08-2020 01:46,positive,65,GIF,fitness,,,
2218,3dfdcf9c-aaa4-41ea-9a7c-b3ba09103467,dislike,23-08-2020 12:58,negative,10,GIF,fitness,,,
2219,3dfdcf9c-aaa4-41ea-9a7c-b3ba09103467,interested,17-01-2021 21:56,positive,30,GIF,fitness,,,
2220,3dfdcf9c-aaa4-41ea-9a7c-b3ba09103467,cherish,28-04-2021 22:39,positive,70,GIF,fitness,,,
2221,3dfdcf9c-aaa4-41ea-9a7c-b3ba09103467,intrigued,06-01-2021 11:15,positive,45,GIF,fitness,,,
2222,3529c44b-d0f4-4bd2-b6eb-be97d2f7623f,like,07-02-2021 16:37,positive,50,photo,studying,,,
2223,3529c44b-d0f4-4bd2-b6eb-be97d2f7623f,heart,04-12-2020 19:11,positive,60,photo,studying,,,
2224,3529c44b-d0f4-4bd2-b6eb-be97d2f7623f,scared,23-01-2021 16:25,negative,15,photo,studying,,,
2225,3529c44b-d0f4-4bd2-b6eb-be97d2f7623f,hate,18-07-2020 14:45,negative,5,photo,studying,,,
2226,3529c44b-d0f4-4bd2-b6eb-be97d2f7623f,cherish,12-12-2020 18:34,positive,70,photo,studying,,,
2227,3529c44b-d0f4-4bd2-b6eb-be97d2f7623f,want,15-12-2020 22:17,positive,70,photo,studying,,,
